Cidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %)
Sao Joao do Pau d Alho,591,48473.03,2016,85.02
Sao Joaquim da Barra,11251,1464259,49220,98.23
Sao Jose da Bela Vista,600,150891.1,8624,90.62
Sao Jose do Barreiro,650,48498.85,4069,76.68
Sao Jose do Rio Pardo,533,1689896,52839,91.24
Sao Jose do Rio Preto,476082,15735652,437273,93.93
Sao Jose dos Campos,443957,37315783,687544,97.97
Sao Lourenco da Serra,4321,196330.8,15082,92.51
Sao Luis do Paraitinga,4005,143813.4,10511,59.8
Sao Manuel,12502,1115217,39202,98.47
Sao Miguel Arcanjo,4354,648708.2,31809,74.47
Sao Paulo,9686657,687000000,11696088,99.1
Sao Pedro do Turvo,2210,194315.5,7308,76.12
Sao Roque,28,2530729,85059,95.6
Sao Sebastiao,1404,3517128,83314,98.87
Sao Sebastiao da Grama,3945,313908.5,11960,69.61
Sao Simao,120,445653.1,14689,91.73
Sao Vicente,89389,5046457,350254,99.81
Sarapui,1645,133110.3,9782,78.54
Sarutaia,73,63304.26,3636,85.09
Sebastianopolis do Sul,547,853865.7,3229,83.4
Serra Azul,4986,143962.5,11966,71.23
Serra Negra,7443,668012.3,27164,86.99
Serrana,13259,882842.7,42820,99.33
Sertaozinho,36207,5119743,119010,99.41
Sete Barras,2948,367439.4,12666,68.09
Severinia,4200,611863,16649,96.41
Socorro,17330,747442.7,38221,70.53
Sorocaba,182484,30593861,637436,98.98
Sud Mennucci,6244,291720.2,7639,86.08
Sumare,79171,12061113,271202,98.82
Suzanapolis,650,310646.5,3790,66.75
Suzano,101847,9468888,282428,96.48
Tabapua,2815,255913.6,11759,93.55
Tabatinga,6528,235916.6,15540,89.16
Taboao da Serra,151254,8350023,272130,100
Taciba,1450,130239.4,5954,87.05
Taiacu,4654,79970.65,5996,92.58
Taiuva,3670,100595.7,6313,93.22
Tambau,5798,489395.9,22666,90.69
Tanabi,5569,1201448,24837,92.66
Tapirai,1680,144531.4,7749,74.07
Tapiratiba,2637,290820,12635,87.84
Taquaral,560,39699.64,2739,96.46
Tarabai,3600,97438.23,7070,93.61
Taruma,10128,1128852,14242,95
Tatui,29517,3671217,116296,96.72
Taubate,109500,14135705,299140,97.95
Teodoro Sampaio,13907,1076268,22122,82.25
Terra Roxa,4020,128880.9,8939,96.04
Tiete,8618,1734556,39836,91.24
Timburi,650,48847.75,2580,76.55
Torre de Pedra,685,22804.52,2299,69.42
Torrinha,2140,199847.8,9597,86.69
Tremembe,12000,656524.2,44617,92.27
Tres Fronteiras,2096,93610.41,5514,87.54
Tuiuti,1314,109998,6382,53.04
Tupa,17911,1670492,63004,95.99
Tupi Paulista,5657,260852.1,14805,78.53
